Time, Theta AF3,Alpha AF3,Low beta AF3,High beta AF3, Gamma AF3, Theta AF4,Alpha AF4,Low beta AF4,High beta AF4, Gamma AF4, Theta T7,Alpha T7,Low beta T7,High beta T7, Gamma T7, Theta T8,Alpha T8,Low beta T8,High beta T8, Gamma T8, Theta Pz,Alpha Pz,Low beta Pz,High beta Pz, Gamma Pz
1454038688.829692,9.107730,13.984516,7.509465,9.922902,5.297770,9.360499,6.035905,3.753351,4.340428,5.368215,2.110873,1.210237,1.075148,1.912005,1.149643,5.194380,9.863443,6.668010,9.975428,4.398753,2.508842,4.035022,2.874862,3.326418,2.028799
1454038689.329684,928.611407,217.593884,24.507948,10.653026,10.375861,197.300694,52.744551,11.974760,19.884654,21.691401,910.579124,173.329936,99.494110,8.930050,12.262360,25.442928,22.451722,5.519368,13.363869,14.506844,420.498769,118.353604,19.146175,15.096299,19.198003
1454038689.829713,2337.429479,621.127170,101.718522,19.411563,51.152690,1030.161987,210.580283,63.575314,58.664025,89.717851,2356.875276,502.363685,338.374419,49.435736,57.138139,128.298701,138.442079,96.227571,22.161341,71.629919,1063.359328,357.640536,92.976008,48.401757,81.249444
1454038690.329760,380.993233,259.064478,97.346561,33.484163,95.854190,412.595066,229.859470,105.593204,39.840573,85.402129,1002.046946,656.031996,390.561031,186.268078,113.643821,150.694510,246.897057,162.389192,39.635192,111.217294,179.918491,148.992593,90.007550,37.137576,102.709881
1454038690.829787,147.227980,112.092252,66.291966,36.211858,63.953255,169.733824,132.526218,69.610209,46.392456,85.608564,1491.517067,1089.661439,1037.341836,381.166443,119.926056,332.867107,264.094641,84.790438,45.506413,75.848317,115.417716,126.155162,118.961752,37.016618,70.408195
1454038691.329708,229.444716,109.203554,50.824308,37.397060,30.448201,245.037674,125.574420,60.936669,51.368340,132.968661,565.254113,496.855774,918.319342,155.517128,54.332542,543.541954,466.933765,115.928449,62.279874,43.159899,217.003115,118.807873,109.399717,46.941072,32.588975
1454038691.829708,201.880803,70.014350,28.482514,32.891882,30.747201,233.688406,56.989144,39.768582,54.714555,108.584873,170.890473,246.653353,270.239592,58.508645,34.661748,246.936982,218.726779,90.718480,48.434778,35.380654,256.565865,87.777198,42.515059,35.800470,27.753171
1454038692.329407,415.163310,35.589983,17.427902,10.268468,17.416453,424.471378,33.848834,18.024763,18.414866,43.086930,200.044630,173.349700,45.076319,21.608700,16.266259,210.724680,18.287528,9.120139,12.864577,14.901972,497.762389,61.373741,12.177554,10.615272,12.808666
1454038692.829699,157.811374,11.138013,7.151660,1.359229,2.015991,134.758852,13.489493,7.569150,2.124478,3.602504,103.045578,84.879465,21.336008,10.994431,5.192776,69.617516,15.004970,3.192163,3.354333,2.683576,145.709403,12.794624,3.756669,2.128113,2.117724
1454038693.329711,6.092133,4.777782,3.362247,0.951844,0.672364,9.675396,4.439221,2.219126,1.319449,0.798982,22.203915,11.089226,4.828942,3.476508,1.865373,5.894515,6.899978,1.529735,2.099002,1.396753,2.427883,2.391137,0.915179,0.669867,0.885214
1454038693.829718,6.092133,4.777782,3.362247,0.951844,0.672364,9.675396,4.439221,2.219126,1.319449,0.798982,22.203915,11.089226,4.828942,3.476508,1.865373,5.894515,6.899978,1.529735,2.099002,1.396753,2.427883,2.391137,0.915179,0.669867,0.885214
1454038694.329705,18.713075,3.151544,2.895454,1.876945,0.708336,19.008633,2.878828,3.553281,1.835129,0.770502,7.593863,2.492097,1.156411,0.807758,1.210265,14.862111,10.310361,3.424172,3.053727,0.915193,11.950736,1.825525,2.420631,0.989475,0.474388
1454038694.829281,18.713075,3.151544,2.895454,1.876945,0.708336,19.008633,2.878828,3.553281,1.835129,0.770502,7.593863,2.492097,1.156411,0.807758,1.210265,14.862111,10.310361,3.424172,3.053727,0.915193,11.950736,1.825525,2.420631,0.989475,0.474388
1454038695.329689,12.265993,1.647304,1.168374,1.437023,0.736630,13.476777,3.275986,1.125530,1.373206,0.855024,4.885411,1.707622,0.979099,1.053898,0.843937,11.096907,4.282535,1.793513,2.522493,1.064134,8.415637,1.264978,1.089055,0.758840,0.380654
1454038695.829682,4.204585,0.671657,1.341739,0.930667,0.613360,3.536776,2.402195,2.284439,1.050224,0.641578,1.860356,1.230575,0.934564,1.092413,0.720650,2.142228,1.679312,3.144196,2.347762,0.851782,2.717016,1.570132,1.102404,0.705896,0.371938
1454038696.329702,3.166573,0.755357,1.606987,0.908515,0.422106,0.919018,1.562355,2.461856,1.476112,0.468125,9.604874,4.080793,3.546046,2.919251,1.973174,2.736355,1.515848,1.711949,1.844679,0.837854,1.531580,0.904147,0.608941,1.121908,0.413900
1454038696.829686,5.890580,1.816825,0.770705,0.751484,0.609228,2.108901,1.420236,0.690151,1.057858,0.673429,5.718980,2.659105,3.014899,2.250126,1.510471,6.651666,1.890420,1.143322,1.177348,1.069031,1.483480,0.694852,0.517879,0.808907,0.454851
1454038697.329713,4.665919,3.911743,1.049169,1.183668,0.944514,2.312780,2.077538,0.654872,1.253654,0.761950,2.479437,2.420611,0.987664,1.091485,0.951613,5.817914,3.433429,1.298138,1.468869,0.973642,2.022367,1.716429,0.446908,0.609594,0.579814
1454038697.829688,2.636249,2.925287,0.645808,1.670726,0.615655,1.899551,2.348260,1.100465,1.552913,0.945901,4.084359,5.637904,3.037757,2.227733,1.165869,4.349040,1.615479,1.062602,1.068121,0.864623,0.829601,1.217399,0.684040,0.699865,0.498982
1454038698.329314,3.045438,1.510942,0.485247,1.368878,0.686092,1.381181,1.888594,1.308772,1.080847,0.946015,7.017045,5.217621,3.121260,1.576672,1.273097,3.567591,1.340580,1.395052,0.545891,1.073207,1.843714,0.707684,0.738243,0.659908,0.686758
1454038698.829679,1.738056,2.011576,0.958436,0.475357,1.111019,1.063463,1.099921,1.068746,0.885969,0.840687,3.555834,2.494083,2.184793,0.506068,1.119226,3.665905,1.973692,1.439238,0.584599,1.473424,1.485976,0.958899,0.682469,0.809311,0.849935
1454038699.329694,1.432328,2.017179,1.739153,0.886574,0.846306,1.483121,1.354425,1.442287,1.302591,0.699853,1.236326,1.343019,1.631665,0.664908,0.740398,3.516252,1.469239,1.239138,0.932691,1.381813,1.311698,1.217888,1.190278,0.904354,0.516298
1454038699.829689,1.216851,0.932377,1.929904,2.071653,0.948236,1.789244,1.026474,1.680767,1.963465,0.680544,2.843870,0.656968,1.475964,1.175037,0.548153,5.020774,2.063188,1.200501,2.024159,0.985204,1.926270,0.751194,1.197548,1.303447,0.425536
1454038700.329691,1.429130,0.647179,0.924985,1.640058,0.634057,1.921946,1.008932,1.287107,1.284073,0.781631,19.372071,13.530870,11.908171,5.233375,2.988311,6.944732,1.350221,0.577693,1.964698,0.709712,2.467772,1.183464,1.248776,1.088489,0.490375
1454038700.829698,3.598360,1.948169,0.358452,1.338171,0.775841,2.404573,1.429485,0.920643,1.154659,1.091605,35.632672,25.158269,21.907080,9.127438,5.621919,4.344584,1.271579,0.929648,2.025892,0.975253,3.309393,1.937175,1.816910,1.393487,0.707930
1454038701.329692,4.338112,1.975368,0.698233,1.203677,0.942514,1.425549,1.867245,0.735671,0.961368,0.947705,4.587020,3.835973,3.718350,1.689447,1.246078,3.023891,3.223725,2.074573,1.625064,0.887116,2.051469,2.231012,1.437236,0.924684,0.424939
1454038701.829686,3.880523,1.568027,1.350112,1.747356,0.861187,2.109081,0.900740,1.769221,1.413089,0.940874,0.609138,1.251651,1.968891,1.228982,0.692993,2.470760,4.833539,3.172018,1.985086,0.755724,1.253438,1.530763,1.847042,1.131812,0.502228
1454038702.329684,2.160701,1.878086,1.813594,1.076998,0.665349,1.624365,1.411406,1.843637,1.197577,0.696743,1.125165,1.336983,1.840387,1.238619,0.593727,2.872721,3.648111,3.010025,1.898251,0.725403,0.761946,0.860273,1.035273,0.759292,0.431976
1454038702.828951,1.897529,1.428805,4.456604,1.226473,0.805162,2.515471,2.757646,3.428674,1.337602,0.588261,1.151834,0.808552,1.568124,0.992949,0.508844,3.019603,3.345494,5.245597,1.766405,0.691442,1.106878,1.189067,1.935117,0.670028,0.439370
1454038703.329708,1.707702,0.739472,2.364938,1.308830,0.488344,1.656929,1.475128,2.635604,1.272533,0.553393,0.566672,0.404444,0.597960,0.560994,0.503783,3.794729,1.706208,4.095372,1.563819,0.598375,0.952793,0.769448,1.606583,0.643574,0.544462
1454038703.829709,1.616682,1.036182,1.672605,1.002711,0.586987,1.680445,2.243092,2.006169,1.178558,0.676995,0.214029,0.346974,0.686513,0.461265,0.601304,3.606982,0.994279,2.900128,0.735503,0.866259,1.224961,1.153905,1.142071,0.616780,0.462945
1454038704.329690,1.949502,1.780040,1.770133,1.136366,0.708511,1.976418,1.780171,1.774838,1.519502,0.841474,0.246988,0.527494,0.388404,0.508298,0.448226,5.224694,1.453942,2.259238,2.008585,0.816657,0.644816,1.043627,0.742435,0.918242,0.409778
1454038704.829204,3.393532,2.345182,2.062249,1.308037,0.682841,1.998058,1.287158,1.661044,1.385664,0.824913,0.531584,1.729983,0.955187,0.571888,0.434542,6.234407,2.501643,1.862167,2.523066,0.986086,1.060127,1.301282,0.880944,1.058261,0.435911
1454038705.329216,2.500693,1.036078,0.802575,1.299392,0.489599,1.963532,0.912934,1.073608,1.330851,0.600089,0.839531,0.915780,1.040574,0.621528,0.592099,5.628663,1.990955,1.270202,1.712476,1.033273,1.337018,0.615946,0.727678,0.792872,0.346102
1454038705.829907,3.483628,0.599809,1.211830,1.245854,0.718688,1.968267,0.610506,1.923609,1.576967,0.811299,1.426250,0.668546,0.791101,0.609747,0.539402,3.057479,2.354112,2.242691,1.534475,0.941992,1.220706,0.293561,1.200171,0.631912,0.671724
1454038706.329682,48.912804,7.898157,2.687580,1.837633,0.818227,4.106929,1.242355,2.131978,1.875868,1.416391,31.638055,6.771573,4.521705,1.890452,0.896239,5.775838,3.807331,1.481999,1.229507,0.977702,7.006557,0.631220,1.201489,0.796259,0.711162
1454038706.829683,2029.558521,433.425409,83.275576,39.037919,13.334001,190.808170,87.045885,32.464399,53.292717,36.934721,2465.574221,572.658437,808.458450,105.838676,29.042841,259.019092,106.975747,50.573851,27.999369,13.223548,377.453553,80.516746,83.418548,12.475224,10.617781
1454038707.329691,3016.302803,1170.908530,263.538162,125.744806,74.802467,1017.898111,633.635197,224.615715,174.616054,100.442616,11570.789724,5721.628258,6399.975132,1679.877517,371.350845,1286.533334,799.840608,432.419982,113.741290,104.181106,1083.838191,372.291209,607.159624,120.599926,63.007350
1454038707.829712,1002.952557,906.824716,195.641141,152.930951,117.845676,1178.915787,908.351407,230.671902,184.227923,153.611608,13871.675528,15399.191141,11217.878578,4538.472849,613.555219,1131.041420,1012.695324,619.830969,141.799248,195.025106,721.687138,481.938681,681.168422,285.389334,117.881717
